model_family,best_params,tuning_val_rmse,tuning_val_r2,tuning_val_pearson,test_rmse,test_mae,test_r2,test_pearson,n_tuning_configs,tuning_history
ridge,"{""alpha"": 100.0, ""solver"": ""lsqr""}",1.1083744232689847,0.36126063359832195,0.6129852282135665,1.0274487089265076,0.7986942571125369,0.43421926696576596,0.6687924527972778,10,tuning_history_ridge.csv
random_forest,"{""n_estimators"": 800, ""max_depth"": 60, ""min_samples_leaf"": 1, ""max_features"": 0.3}",0.9781947809302436,0.5024905036457886,0.7153178997396419,0.8872560954748333,0.6546830332724517,0.5780841547849556,0.7699562454012194,48,tuning_history_random_forest.csv
lightgbm,"{""learning_rate"": 0.04, ""num_leaves"": 79, ""min_child_samples"": 50, ""reg_alpha"": 0, ""reg_lambda"": 1, ""n_estimators"": 983}",0.9885027918928184,0.4919499567276453,0.7074437557194896,0.9148375430848595,0.6723206466018763,0.5514448882922993,0.7506210311428002,59,tuning_history_lightgbm.csv
